District,Constituency,Name,Political Party,Votes
OYAM,OYAM COUNTY NORTH,OKELLO  CHARLES PATRICK ENGOLA MACODWOGO,NRM,22895
,OYAM COUNTY NORTH,APIO  EUNICE,UPC,17114
,OYAM COUNTY NORTH,AYENA  KRISPUS CHARLES,INDEPENDENT,8498
,OYAM COUNTY NORTH,OBOKE  HENRY EDONGA,INDEPENDENT,175
,OYAM COUNTY NORTH,NAM  JOE,INDEPENDENT,140
OYAM,OYAM COUNTY SOUTH,AMONGI  BETTY ONGOM,UPC,27024
OYAM,OYAM COUNTY SOUTH,QUEEN  DOROTHY AMOLO,INDEPENDENT,14883
,OYAM COUNTY SOUTH,OBONG  PATRICK,NRM,5504
,OYAM COUNTY SOUTH,OTTO  ISHAA AMIZA,INDEPENDENT,1205
,OYAM COUNTY SOUTH,ODONGO  WILLY,INDEPENDENT,1032
,OYAM COUNTY SOUTH,AWUKO  BENARD,INDEPENDENT,358
,OYAM COUNTY SOUTH,OKECH  ALFRED,FDC,140
,OYAM COUNTY SOUTH,ODONG  GODFREY,INDEPENDENT,125
PADER,ARUU COUNTY,KOMAKECH  CHRISTOPHER,INDEPENDENT,9796
,ARUU COUNTY,ODONGA  OTTO,UEP,6199
,ARUU COUNTY,ACENG  HELLEN,NRM,2892
,ARUU COUNTY,OCHORA  CHARLES,NUP,300
,ARUU COUNTY,ODONG  JUSTINE,FDC,164
,ARUU COUNTY,OKELLO  DENIS GODWINS,DP,150
,ARUU COUNTY,ODONG  DAVID LIVINGSTONE,ANT,70
PADER,ARUU NORTH COUNTY,OKOT SANTA,PPP,9498
,ARUU NORTH COUNTY,ACHIRO LUCY OTIM,INDEPENDENT,8492
,ARUU NORTH COUNTY,OCHEN JULIUS PETER,NRM,6413
PADER,ARUU NORTH COUNTY,ONYANGO GEORGE WILLIAMS,INDEPENDENT,528
,ARUU NORTH COUNTY,ONEN BERNARD OKENY,FDC,495
,ARUU NORTH COUNTY,LAGORO LING ROBERT,UPC,248
,ARUU NORTH COUNTY,MWAKA CHARLES,DP,180
PAKWACH,JONAM COUNTY,ONGIERTHO  EMMANUEL JOR,FDC,23840
,JONAM COUNTY,JACHAN  FRED OMACH MANDIR,NRM,21586
,JONAM COUNTY,OFOI  SHABAN,INDEPENDENT,2446
,JONAM COUNTY,ALENYO  MARSHALL GODFREY,INDEPENDENT,934
PALLISA,AGULE COUNTY,OGWARI  POLYCARP,INDEPENDENT,7190
,AGULE COUNTY,OCHWA  DAVID,NRM,6908
,AGULE COUNTY,OBEKE  ADAM,INDEPENDENT,2430
,AGULE COUNTY,OMAGOR  ANDREW EROKODE,FDC,740
,AGULE COUNTY,AISU  GODWIN ISAAC,DP,115
,AGULE COUNTY,EMUGE  JAMES,INDEPENDENT,104
PALLISA,GOGONYO COUNTY,ORONE  DERRICK,NRM,6280
,GOGONYO COUNTY,BANTALIB  ISSA TALIGOLA,INDEPENDENT,6214
,GOGONYO COUNTY,MUKULA  FRANCIS,INDEPENDENT,3687
,,,,
PALLISA,GOGONYO COUNTY,BONA  GERALD,INDEPENDENT,699
,GOGONYO COUNTY,OURUM  OKIROR SAM,INDEPENDENT,464
,GOGONYO COUNTY,EMURWON  MICHAEL,FDC,167
PALLISA,KIBALE COUNTY,OSEKU  RICHARD ORIEBO,NRM,5837
,KIBALE COUNTY,OKIA  LAMBERT,INDEPENDENT,3423
,KIBALE COUNTY,OKWI  CONSTANTINE,INDEPENDENT,1092
,KIBALE COUNTY,OLEBO  EMMANUEL,FDC,560
,KIBALE COUNTY,OKIROR  FIDEL,INDEPENDENT,448
,KIBALE COUNTY,KASAJJA  DEOGRATIUS,INDEPENDENT,164
,KIBALE COUNTY,OLUPOT  CHARLES,INDEPENDENT,52
PALLISA,PALLISA COUNTY,OTUKOL  SAM,NRM,15119
,PALLISA COUNTY,IBRAHIM  IBRAHIM AISU,INDEPENDENT,10607
,PALLISA COUNTY,OPOLOT  JACOB RICHARDS,INDEPENDENT,6918
,PALLISA COUNTY,SIRANDA  GERALD BLACKS,DP,2972
,PALLISA COUNTY,OPEDUN  JAMES,INDEPENDENT,1533
,PALLISA COUNTY,KATEU  GODFREY,NUP,543
,PALLISA COUNTY,OWAKO  MARTIN,FDC,266
PALLISA,PALLISA COUNTY,DAVID  PANDE,INDEPENDENT,161
RAKAI,BUYAMBA COUNTY,SSEMWANGA GYAVIIRA,NRM,
RAKAI,KOOKI COUNTY,NINSIIMA  BOAZ KASIRABO,NRM,29587
,KOOKI COUNTY,NDINAIWE  HENRY,NUP,9300
,KOOKI COUNTY,MPUUGA  DAVID,INDEPENDENT,5275
RUBANDA,RUBANDA COUNTY EAST,MUSASIZI  HENRY ARIGANYIRA,NRM,17502
,RUBANDA COUNTY EAST,JOGO  KENETH BIRYABAREMA,INDEPENDENT,16892
,RUBANDA COUNTY EAST,BYARUHANGA  BRUNNEL ACHILLES,INDEPENDENT,701
,RUBANDA COUNTY EAST,KAMUGISHA  HENRY,INDEPENDENT,221
,RUBANDA COUNTY EAST,MBABAZI  BENJAMIN,FDC,32
,RUBANDA COUNTY EAST,AYEBARE  JASPER,NUP,19
RUBANDA,RUBANDA COUNTY WEST,KAMUNTU  MOSES,INDEPENDENT,22238
,RUBANDA COUNTY WEST,SABIITI  DENIS BAMWOYA NDYANABO,NRM,20671
RUBIRIZI,BUNYARUGURU COUNTY,TWESIGYE  JOHN NTAMUHIIRA,NRM,13036
,BUNYARUGURU COUNTY,CADET  BENJAMIN,INDEPENDENT,12428
,BUNYARUGURU COUNTY,AINEBYONA  SULAITI,INDEPENDENT,109
,BUNYARUGURU COUNTY,MUGISHA  VINCENT,FDC,105
RUBIRIZI,BUNYARUGURU COUNTY,BYOMUGABE  NATHAN,ANT,44
RUBIRIZI,KATERERA COUNTY,KATO  MUHAMMED,NRM,12213
,KATERERA COUNTY,KATOTO  HATWIB,INDEPENDENT,9302
,KATERERA COUNTY,MATSIKO  STEPHENS KIWEKA,INDEPENDENT,563
,KATERERA COUNTY,NDINAWE  DANIEL,INDEPENDENT,328
,KATERERA COUNTY,KABAGAMBE  SWAMADU,INDEPENDENT,139
,KATERERA COUNTY,AMPAIRE  BRIAN GEORGE,ANT,62
RUKIGA,RUKIGA COUNTY,NDYOMUGYENYI  ROLAND,INDEPENDENT,10911
,RUKIGA COUNTY,KAKURU  ADISON,NRM,10550
,RUKIGA COUNTY,KABAFUNZAKI  HERBERT,INDEPENDENT,9623
,RUKIGA COUNTY,BESIGYE  LASTONE,INDEPENDENT,6964
,RUKIGA COUNTY,NEBYE  STEVEN RUTARO,FDC,628
,RUKIGA COUNTY,MUSINGUZI  ELIAS BRIAN,INDEPENDENT,121
RUKUNGIRI,RUBABO COUNTY,NAMANYA  NABOTH,FDC,27908
,RUBABO COUNTY,TURYAHIKAYO KEBIRUNGI MARY PAULA,NRM,20287
,RUBABO COUNTY,TUSHABOMWE  DAVID NDINDIRIZE,INDEPENDENT,1859
,RUBABO COUNTY,NATUKUNDA  PEGGY MORIS,INDEPENDENT,332
RUKUNGIRI,RUBABO COUNTY,RWABATONGORE  RWEISHE WILBER,INDEPENDENT,132
RUKUNGIRI,RUJUMBURA COUNTY,MUHWEZI  JIM KATUGUGU,NRM,23990
,RUJUMBURA COUNTY,TUMUHEIRWE  FRED TURYAMUHWEZA,FDC,20556
,RUJUMBURA COUNTY,MUHOOZI  GRACE MUGASHA,INDEPENDENT,2149
,RUJUMBURA COUNTY,GUMISIRIZA  SYLIVIN,ANT,230
RUKUNGIRI,RUKUNGIRI MUNICIPALITY,RUTAHIGWA  ELISA,NRM,5588
,RUKUNGIRI MUNICIPALITY,NUWAGABA  WALLEN TUMWINE,FDC,3584
,RUKUNGIRI MUNICIPALITY,KAMATENETI  INGRID TURINAWE,INDEPENDENT,2266
,RUKUNGIRI MUNICIPALITY,OWAKUKIRORU  GEORGE TUMWESIGYE,INDEPENDENT,1098
,RUKUNGIRI MUNICIPALITY,MBABAZI  ARTHUR,INDEPENDENT,191
,RUKUNGIRI MUNICIPALITY,KABANO  APOLLO,INDEPENDENT,172
,RUKUNGIRI MUNICIPALITY,TUMUKUNDE AMANYA  PAL NDUHURA,INDEPENDENT,109
,RUKUNGIRI MUNICIPALITY,KOMUJUNI  JOVITAH,INDEPENDENT,91
,RUKUNGIRI MUNICIPALITY,AGABA  OSBERT MURIISA,INDEPENDENT,3
RWAMPARA,RWAMPARA COUNTY,KANKUNDA  AMOS KIBWIKA,NRM,11936
,RWAMPARA COUNTY,MUJUNI  VICENT KYAMADIDI,INDEPENDENT,4821
,RWAMPARA COUNTY,AHIMBISIBWE  WILBERFORCE ONGOM,FDC,1195
RWAMPARA,RWAMPARA COUNTY,NSIMIRE  NAPOLEON,INDEPENDENT,882
,RWAMPARA COUNTY,BEHAKANIRA  ONEM,INDEPENDENT,278
,RWAMPARA COUNTY,MUTAREMWA  PAKARASIO,NUP,184
RWAMPARA,RWAMPARA EAST COUNTY,TUSIIME  JULIUS,INDEPENDENT,11318
,RWAMPARA EAST COUNTY,NGABIRANO  CHARLES,NRM,9331
,RWAMPARA EAST COUNTY,MUGISHA  ARYATUJUNA,ANT,240
,RWAMPARA EAST COUNTY,AYEBAZIBWE  JUSTUS,NUP,228
,RWAMPARA EAST COUNTY,AYESIGOMWE  AMON RUBAREMA,FDC,175
,RWAMPARA EAST COUNTY,KAREEBI  VICTOR,INDEPENDENT,91
SERERE,KASILO COUNTY,OKUPA  ELIJAH,INDEPENDENT,6415
,KASILO COUNTY,EMAJU  JAMES,FDC,4572
,KASILO COUNTY,EDONU  MOSES,NRM,3522
,KASILO COUNTY,OWANYI  GEORGE EMMANUEL,INDEPENDENT,3477
,KASILO COUNTY,KOLUO  SAM,INDEPENDENT,470
,KASILO COUNTY,ENYUTU  SAM,NUP,137
SERERE,PINGIRE COUNTY,OPOLOT  FRED,NRM,6351
,PINGIRE COUNTY,OJIIT  PETER,FDC,5380
SERERE,PINGIRE COUNTY,OPIT  JOSEPH OKOJO,INDEPENDENT,2369
,PINGIRE COUNTY,OKIROR  AUGUSTNE,INDEPENDENT,807
,PINGIRE COUNTY,OPIO  AMOS,UPC,48
,PINGIRE COUNTY,OMODING  AUGUSTINE,INDEPENDENT,46
SERERE,SERERE COUNTY,OKABE  PATRICK,INDEPENDENT,17826
,SERERE COUNTY,OUCOR  PHILIP,NRM,12631
,SERERE COUNTY,ONGURUCO  MARTIN,INDEPENDENT,10513
,SERERE COUNTY,ERATU  EMMANUEL,INDEPENDENT,1035
,SERERE COUNTY,EYARU  JOSHUA,FDC,945
,SERERE COUNTY,MUKHALU  RICHARD OKODEL,NUP,338
SHEEMA,SHEEMA COUNTY NORTH,KIBAAJU  NAOME,NRM,10618
,SHEEMA COUNTY NORTH,TABOORA  DIDAS,INDEPENDENT,8726
,SHEEMA COUNTY NORTH,GUMA  NUWAGABA,FDC,1292
,SHEEMA COUNTY NORTH,MUJUNI  FELIX,INDEPENDENT,1127
,SHEEMA COUNTY NORTH,NIWEAINEBYOONA  JUNIOR,ANT,511
SHEEMA,SHEEMA COUNTY SOUTH,MUSHEMEZA  ELIJAH DICKENS,INDEPENDENT,12862
,SHEEMA COUNTY SOUTH,KAMUNTU  EPHRAIM,NRM,12658
SHEEMA,SHEEMA COUNTY SOUTH,ARINAITWE  EMMANUEL,FDC,343
,SHEEMA COUNTY SOUTH,MWEBESA  MOSES,INDEPENDENT,285
,SHEEMA COUNTY SOUTH,KYANKAAGA  RODNEY,ANT,176
SHEEMA,SHEEMA MUNICIPALITY,KATESHUMBWA  DICKSONS,NRM,17466
,SHEEMA MUNICIPALITY,TUMWESIGYE  ELIODA,INDEPENDENT,13733
,SHEEMA MUNICIPALITY,PLAN  VIRGINIA MUGYENYI,FDC,1338
,SHEEMA MUNICIPALITY,MULINDWA  MOSES,INDEPENDENT,314
,SHEEMA MUNICIPALITY,KIJUJU  JAFARI,NUP,123
SIRONKO,BUDADIRI COUNTY  WEST,NANDALA  MAFABI NATHAN JAMES,FDC,28986
,BUDADIRI COUNTY  WEST,WAMBAKA  KOSEA,NRM,11526
,BUDADIRI COUNTY  WEST,MAFABI  RONALD DATHAN WOKATEGA,NUP,851
,BUDADIRI COUNTY  WEST,NAKISALI  CHRISTOPHER,INDEPENDENT,555
,BUDADIRI COUNTY  WEST,BOSSA  NASSAR,INDEPENDENT,394
,BUDADIRI COUNTY  WEST,MUYOBO  PETER,INDEPENDENT,288
SIRONKO,BUDADIRI COUNTY EAST,SSASAGA  ISAIAS JOHNY,FDC,15776
,BUDADIRI COUNTY EAST,WOBOYA  VICENT,NRM,12152
,BUDADIRI COUNTY EAST,NAKIYI  JULIUS MUNTU,INDEPENDENT,7941
SIRONKO,BUDADIRI COUNTY EAST,SASAGAH  GODFREY WANZIRA,INDEPENDENT,2363
,BUDADIRI COUNTY EAST,MASEREJE  RICHARD,INDEPENDENT,1413
,BUDADIRI COUNTY EAST,WONIALA  DAVID,NUP,1083
,BUDADIRI COUNTY EAST,KASOOLA  MIKE,UPC,174
,BUDADIRI COUNTY EAST,KIWUNGULO  JOHN,INDEPENDENT,150
SOROTI,DAKABELA COUNTY,ELOTU  COSMAS,NRM,13480
,DAKABELA COUNTY,EDOPU  PETER EDEKU,INDEPENDENT,8621
,DAKABELA COUNTY,ERAU  JONATHAN,FDC,4724
SOROTI,GWERI COUNTY,EKUDO  TOM JULIUS,FDC,7456
,GWERI COUNTY,EITUNGANANE  ESIANGU KENNETH,INDEPENDENT,6462
,GWERI COUNTY,ELIMU  RICHARD,NRM,3027
,GWERI COUNTY,OIKO  JOHN ROBERT,INDEPENDENT,89
SOROTI,SOROTI COUNTY,AEKU  PATRICK,NRM,6481
,SOROTI COUNTY,ENINU  SAMUEL,INDEPENDENT,6001
,SOROTI COUNTY,EIGU  DANIEL,FDC,5937
,SOROTI COUNTY,ONYAIT  YUVENTINE,INDEPENDENT,888
,SOROTI COUNTY,EDIMU  FRANCIS,UPC,699
SOROTI,SOROTI COUNTY,ORIOKOT  JIMMY,INDEPENDENT,280
,SOROTI COUNTY,EMOLU  SAMUEL,INDEPENDENT,254
,SOROTI COUNTY,ELUPE  MESHULLAM,NUP,147
,SOROTI COUNTY,OGITA  JOSEPH,INDEPENDENT,26
SOROTI CITY,SOROTI EAST DIVISION,ATTAN  OKIA MOSES,FDC,7606
,SOROTI EAST DIVISION,ARIKO  HERBERT EDMUND OKWORO,INDEPENDENT,7167
,SOROTI EAST DIVISION,EKEMU  JIMMY,NRM,397
,SOROTI EAST DIVISION,INACHU  SARAH OLIVER,INDEPENDENT,185
,SOROTI EAST DIVISION,ELAJU  JAMES HERBERT YOWERI,UPC,99
,SOROTI EAST DIVISION,EMACHU  ARNOLD,NUP,86
SOROTI CITY,SOROTI WEST DIVISION,EBWALU JONATHAN,INDEPENDENT,7248
,SOROTI WEST DIVISION,ECHODU DAVID CALVIN,NRM,5286
,SOROTI WEST DIVISION,EBITU SIMON PETER,INDEPENDENT,1373
,SOROTI WEST DIVISION,ELASU EDIMOND,FDC,681
SSEMBALULE,LWEMIYAGA COUNTY,SSEKIKUBO  THEODORE,NRM,8527
,LWEMIYAGA COUNTY,KABATSI  KAFURA JOY,INDEPENDENT,5649
,LWEMIYAGA COUNTY,BWIIRE  EDMOND,INDEPENDENT,4196
SSEMBALULE,LWEMIYAGA COUNTY,ZIRIDAMU  PAUL,NUP,384
SSEMBALULE,MAWOGOLA COUNTY SOUTH,NAMUGGA  GORRETH,NUP,9783
,MAWOGOLA COUNTY SOUTH,BYUMA  OSWALD DEZ,NRM,8418
,MAWOGOLA COUNTY SOUTH,MUKIMBA  LAWRENCE,INDEPENDENT,389
,MAWOGOLA COUNTY SOUTH,NABIKINDU  MADRINE GRACE,INDEPENDENT,314
,MAWOGOLA COUNTY SOUTH,MUKASA  ABDU,FDC,237
,MAWOGOLA COUNTY SOUTH,WASWA  MOSES,DP,103
,MAWOGOLA COUNTY SOUTH,KIMBUGWE  VICENT,INDEPENDENT,81
SSEMBALULE,MAWOGOLA NORTH COUNTY,MUSHERURE  SHARTS NAYEBARE KUTESA,INDEPENDENT,17274
,MAWOGOLA NORTH COUNTY,KISEKKA  SALIM,INDEPENDENT,2544
,MAWOGOLA NORTH COUNTY,NYANZI  HENRY MAWEJJE,NUP,2346
,MAWOGOLA NORTH COUNTY,NAKAYIZA  CATHERINE,INDEPENDENT,2025
,MAWOGOLA NORTH COUNTY,TUKUNDANE  HILLARY,INDEPENDENT,138
,MAWOGOLA NORTH COUNTY,LYAZI  MOSES,FDC,83
,MAWOGOLA NORTH COUNTY,WAGABA  DDIBYA ISMAEL,INDEPENDENT,72
,MAWOGOLA NORTH COUNTY,AINE  GODFREY KAGUTA SODO,INDEPENDENT,5
SSEMBALULE,MAWOGOLA WEST COUNTY,BANGIRANA  ANIFA KAWOOYA,NRM,10487
SSEMBALULE,MAWOGOLA WEST COUNTY,SSEKABIITO  JOSEPH,INDEPENDENT,6378
,MAWOGOLA WEST COUNTY,TWESIGYE  HENRY K,NUP,1541
,MAWOGOLA WEST COUNTY,MAWANDA  MUHAMMED,DP,521
,MAWOGOLA WEST COUNTY,BONABANTU  PAUL,INDEPENDENT,86
TEREGO,TEREGO EAST COUNTY,OBIGA  KANIA,NRM,10544
,TEREGO EAST COUNTY,APAMA  AMATO BOROA,ANT,5925
,TEREGO EAST COUNTY,DRAGA  CARMELLO JOY,INDEPENDENT,4569
,TEREGO EAST COUNTY,JADRIBO  VICTOR,NUP,2188
,TEREGO EAST COUNTY,ADRIKO  BENS GEOFFREY,INDEPENDENT,1396
,TEREGO EAST COUNTY,AWUGA  ROBERT OBALE,FDC,827
,TEREGO EAST COUNTY,ALIGA  ANDREW ALBANO DUYIA,INDEPENDENT,530
,TEREGO EAST COUNTY,ONAMA  KALISTO,DP,415
TEREGO,TEREGO WEST COUNTY,LEKU  JOEL,NRM,10218
,TEREGO WEST COUNTY,ANGUNDRU  MOSES,INDEPENDENT,8126
,TEREGO WEST COUNTY,MUSEMA  SWALI,FDC,2631
,TEREGO WEST COUNTY,MULEMA  CHRIS,INDEPENDENT,1066
,TEREGO WEST COUNTY,AJOBE  BOSCO,INDEPENDENT,824
TEREGO,TEREGO WEST COUNTY,ANDUA  MARTIN DRANI,ANT,0
,TEREGO WEST COUNTY,EGAMA  SAM RAXTON ADRAPI,INDEPENDENT,0
TORORO,TORORO MUNICIPALITY,APOLLO  YERI OFWONO,NRM,5169
,TORORO MUNICIPALITY,OKWARE  EDWARD,INDEPENDENT,4564
,TORORO MUNICIPALITY,RAGANYI  IBRAHIM YUSUF,INDEPENDENT,1174
,TORORO MUNICIPALITY,OLWENY  CHARLES,INDEPENDENT,1034
,TORORO MUNICIPALITY,EMOJONG  DEOGRATIUS,NUP,686
,TORORO MUNICIPALITY,AYEYO  SILVANUS,ANT,182
,TORORO MUNICIPALITY,OTHIENO  ROMANUS,INDEPENDENT,78
,TORORO MUNICIPALITY,OCHWO  GODFREY,FDC,67
,TORORO MUNICIPALITY,KAIKEDE  OLOWO JOHN STEPHEN,DP,36
TORORO,TORORO NORTH COUNTY,EKANYA  GEOFREY,FDC,9674
,TORORO NORTH COUNTY,NYAKECHO  ANNET,INDEPENDENT,9563
,TORORO NORTH COUNTY,OTHIENO  GODFREY,NRM,5834
,TORORO NORTH COUNTY,EKILEUT  JAMES PETER,INDEPENDENT,201
,TORORO NORTH COUNTY,OBBO  JOHNSON,INDEPENDENT,131
,TORORO NORTH COUNTY,OTABONG  CHARLES JONJO,NUP,122
TORORO,TORORO NORTH COUNTY,KALANI  ISAAC,INDEPENDENT,51
TORORO,TORORO SOUTH COUNTY,ANGURA  FREDRICK,NRM,15734
,TORORO SOUTH COUNTY,OPEYO  JEAN LIVINGSTONE,INDEPENDENT,9008
,TORORO SOUTH COUNTY,EKIRING  GIBSON DEOGRATIUS,FDC,1241
,TORORO SOUTH COUNTY,IMUKUTET  STELLA,INDEPENDENT,1104
,TORORO SOUTH COUNTY,ENGORIT  FREDERICK OTYENGI SIMO,NUP,784
,TORORO SOUTH COUNTY,IMAILUK  ROGERS PETER,INDEPENDENT,528
,TORORO SOUTH COUNTY,NAMISI  EUNICE,INDEPENDENT,412
,TORORO SOUTH COUNTY,ETYANG  SIMON PETER,ANT,118
,TORORO SOUTH COUNTY,OMACHAR  ELINO,INDEPENDENT,86
TORORO,WEST BUDAMA CENTRAL COUNTY,OBOTH  MARKSONS JACOB,NRM,12084
,WEST BUDAMA CENTRAL COUNTY,OKOTH  GEOFFREY OITA,INDEPENDENT,7610
,WEST BUDAMA CENTRAL COUNTY,OTURO  JESSE ERIDAD,INDEPENDENT,468
,WEST BUDAMA CENTRAL COUNTY,KIRYA  MOSES ISIKO,INDEPENDENT,376
,WEST BUDAMA CENTRAL COUNTY,ONNO  ZACHARIAH,NUP,167
,WEST BUDAMA CENTRAL COUNTY,OLUKA  JOHN PAUL,FDC,103
,WEST BUDAMA CENTRAL COUNTY,LAARO  PETER AYEKA,INDEPENDENT,50
TORORO,WEST BUDAMA CENTRAL COUNTY,OKETCH  OJIEK LAZZARUS,INDEPENDENT,0
TORORO,WEST BUDAMA COUNTY NORTH,OCHAI  MAXIMUS,NRM,10981
,WEST BUDAMA COUNTY NORTH,OTHIENO  OKOTH RICHARD,INDEPENDENT,9856
,WEST BUDAMA COUNTY NORTH,OWORI  JOHN PAUL,INDEPENDENT,1584
,WEST BUDAMA COUNTY NORTH,OKELLO  PETER JABWELI,INDEPENDENT,784
,WEST BUDAMA COUNTY NORTH,ALIRA  DAVID PECHOKISIKA OPII,PPP,278
,WEST BUDAMA COUNTY NORTH,AKICHERE  GLORIA OBURU,INDEPENDENT,175
,WEST BUDAMA COUNTY NORTH,OKONGO  LEO,FDC,85
,WEST BUDAMA COUNTY NORTH,ALUKI  GEORGE,DP,24
TORORO,WEST BUDAMA COUNTY SOUTH,OTIAM  EMMANUEL OTAALA,NRM,13648
,WEST BUDAMA COUNTY SOUTH,OWOR  FRANKLIN,INDEPENDENT,4603
,WEST BUDAMA COUNTY SOUTH,AKIKA  EMMANUEL OTHIENO,INDEPENDENT,3527
,WEST BUDAMA COUNTY SOUTH,KATANDI  JOSEPH,INDEPENDENT,739
,WEST BUDAMA COUNTY SOUTH,ONGAWI  KENNEDY,NUP,386
,WEST BUDAMA COUNTY SOUTH,OGUTI  ALBERT MATHIAS,INDEPENDENT,75
TORORO,WEST BUDAMA NORTH EAST COUNTY,ODOI  OYWELOWO FOX,NRM,11398
,WEST BUDAMA NORTH EAST COUNTY,OGANDI  DENIS PETER,INDEPENDENT,7171
TORORO,WEST BUDAMA NORTH EAST COUNTY,NYERO  VINCENT,INDEPENDENT,1572
,WEST BUDAMA NORTH EAST COUNTY,OSINDE  OWOR OKONGO JIMMY,INDEPENDENT,1051
,WEST BUDAMA NORTH EAST COUNTY,KAYALA  MICKY,UPC,176
,WEST BUDAMA NORTH EAST COUNTY,OSINDE  BENARD,FDC,100
WAKISO,BUSIRO COUNTY EAST,LUBEGA  MEDARD SSEGGONA,NUP,88918
,BUSIRO COUNTY EAST,MATOVU  EMMANUEL MAGOOLA,INDEPENDENT,14561
,BUSIRO COUNTY EAST,KAKINDA  MALE   NAJIB,NRM,11758
,BUSIRO COUNTY EAST,KANGAAVE  FRED,INDEPENDENT,1433
,BUSIRO COUNTY EAST,GGALA  CHARLES  WILSON,DP,1386
,BUSIRO COUNTY EAST,KIMERA  CHARLES,FDC,1023
,BUSIRO COUNTY EAST,NASSIMBWA  HAMIDAH,ANT,672
,BUSIRO COUNTY EAST,NAKIYINGI  OLIVE,INDEPENDENT,571
,BUSIRO COUNTY EAST,MABIRIZI  EMMANUEL,INDEPENDENT,450
,BUSIRO COUNTY EAST,NASSOLO  IRENE,EPU,322
WAKISO,BUSIRO COUNTY NORTH,NSUBUGA  PAUL,NUP,21401
,BUSIRO COUNTY NORTH,GALABUZI  DENNIS   SSOZI,NRM,16136
,BUSIRO COUNTY NORTH,KASTA  HUSSEIN  BUKENYA,INDEPENDENT,893
WAKISO,BUSIRO COUNTY NORTH,KAGGWA  AHAMED,INDEPENDENT,767
,BUSIRO COUNTY NORTH,NANTONGO  BASHIRA,FDC,249
,BUSIRO COUNTY NORTH,LUBADDE  EDGAR,DP,199
WAKISO,BUSIRO COUNTY SOUTH,MATOVU  CHARLES,NUP,35391
,BUSIRO COUNTY SOUTH,OWOR  PAUL,INDEPENDENT,16418
,BUSIRO COUNTY SOUTH,SEMATIMBA  PETER,NRM,12842
,BUSIRO COUNTY SOUTH,SEKIGOZI  STEPHEN,DP,9729
,BUSIRO COUNTY SOUTH,LWANGA  CHARLES GGONGOLA,INDEPENDENT,1308
,BUSIRO COUNTY SOUTH,KAGIMU  WILLIAM,INDEPENDENT,621
,BUSIRO COUNTY SOUTH,KIKOMEKO  SAUL,INDEPENDENT,397
,BUSIRO COUNTY SOUTH,KAYEMBA  JOSEPH,INDEPENDENT,263
WAKISO,ENTEBBE MUNICIPALITY,KAKEMBO  MICHEAL,NUP,12528
,ENTEBBE MUNICIPALITY,GASHAIJJA  SHYAKA  STEVEN,NRM,8874
,ENTEBBE MUNICIPALITY,TUMUSIIME  ROSEMARY BIKAAKO,INDEPENDENT,1476
,ENTEBBE MUNICIPALITY,NABATTA  JOYCE  NAMULI,INDEPENDENT,1113
,ENTEBBE MUNICIPALITY,BALIHAFI  MICHEEAL  KALLE,DP,1081
,ENTEBBE MUNICIPALITY,WALUSIMBI  ABUBAKER,FDC,989
WAKISO,ENTEBBE MUNICIPALITY,SERYAZI  WILBERFORCE WIILIAM,ANT,743
,ENTEBBE MUNICIPALITY,JARAMOGI  LIVINGSTONE ODINGA,INDEPENDENT,348
WAKISO,KIRA MUNICIPALITY,SSEMUJJU  IBRAHIM,FDC,42185
,KIRA MUNICIPALITY,LUKWAGO  JIMMY,NUP,16999
,KIRA MUNICIPALITY,SSENKEEZI  EMMANUEL KATUMBA,NRM,8488
,KIRA MUNICIPALITY,MUKIIBI  JOSEPH,DP,1013
,KIRA MUNICIPALITY,BULAMU  ALLAN   DENTINE,INDEPENDENT,839
,KIRA MUNICIPALITY,ATEGEKA  MOSES,INDEPENDENT,584
,KIRA MUNICIPALITY,KATABARWA  FRANK,INDEPENDENT,520
,KIRA MUNICIPALITY,MUWONGE  STEPHEN,INDEPENDENT,158
WAKISO,KYADONDO COUNTY EAST,NKUNYINGI  MUWADA,NUP,22422
,KYADONDO COUNTY EAST,SEMPEBWA  KIYIMBA TONNY,INDEPENDENT,6327
,KYADONDO COUNTY EAST,MUJUZI  PIUS,NRM,3849
,KYADONDO COUNTY EAST,KANTINTI  APOLLO,FDC,2090
,KYADONDO COUNTY EAST,NANTEGE  PATIENCE JACKIE,INDEPENDENT,1416
,KYADONDO COUNTY EAST,SITENDA  SSEBALU  WILLIAM,INDEPENDENT,898
,KYADONDO COUNTY EAST,NGABIRANO  FRANCIS,INDEPENDENT,836
WAKISO,KYADONDO COUNTY EAST,SSIMBWA  KHALID,INDEPENDENT,524
,KYADONDO COUNTY EAST,SEREBE  JAMES,DP,428
,KYADONDO COUNTY EAST,MWESIGYE  WILLIAM  WILBER,INDEPENDENT,120
,KYADONDO COUNTY EAST,SSEKAMATTE  MAGALA BRUCE,INDEPENDENT,107
WAKISO,MAKINDYE-SSABAGABO MUNICIPALITY,SSERUKENYA  DAVID,NUP,35892
,MAKINDYE-SSABAGABO MUNICIPALITY,SSEMPALA  KIGOZI EMMANUEL,INDEPENDENT,19418
,MAKINDYE-SSABAGABO MUNICIPALITY,KYAZZE  FRANK,NRM,12344
,MAKINDYE-SSABAGABO MUNICIPALITY,SEBANDEKE  ABDUL  FAROUK,DP,3417
